Id,SalePrice
1461,123636.02154708284
1462,154406.94340109898
1463,176342.72641351406
1464,180334.78008921738
1465,204767.8005531538
1466,182809.967909762
1467,160885.40644560911
1468,178046.2542119395
1469,184320.50588608536
1470,120981.94549327837
1471,195935.92696303836
1472,95084.33293356336
1473,97769.25827827217
1474,152875.66893992687
1475,158311.38491942585
1476,420700.99179261806
1477,252221.39010780037
1478,285885.88479561056
1479,286920.31212877895
1480,464218.55067252944
1481,319471.86810100445
1482,201250.6614637047
1483,161483.0372371723
1484,175064.10876072422
1485,177669.52025781551
1486,209822.35795669895
1487,348473.75980582
1488,244922.41196306783
1489,191222.65919618026
1490,183923.13200504385
1491,195887.9703608577
1492,102116.61022953967
1493,177181.2928930603
1494,309660.8619116488
1495,280477.0071630532
1496,208418.12585077033
1497,183025.20072004374
1498,158261.0273186889
1499,157404.94029406496
1500,142253.08635653078
1501,170881.55952054902
1502,157860.32161143047
1503,280640.66937572067
1504,234401.50784318577
1505,208684.24710105106
1506,173351.49836595764
1507,215446.94479158203
1508,188075.1561909635
1509,159783.47195864873
1510,147312.48197994652
1511,146068.44023787
1512,155377.9451947756
1513,152010.70059276765
1514,147860.3201414659
1515,183366.0508939749
1516,157981.63800486046
1517,155724.6526989787
1518,125773.38692648521
1519,214761.5321830487
1520,140004.20097650654
1521,145789.1158258608
1522,161796.91699587443
1523,116796.14921619912
1524,124197.95254861373
1525,127619.54781988462
1526,124939.80255155491
1527,85909.72386376008
1528,133080.87821399642
1529,140913.62826901383
1530,165744.3863998868
1531,121580.46505751961
1532,112773.12723125663
1533,146134.13517383893
1534,116594.92437222827
1535,147484.31152489551
1536,122608.92512021521
1537,79575.23585155733
1538,166630.8708957067
1539,232449.56724859643
1540,109678.62545857849
1541,145231.92156835395
1542,139675.9000993127
1543,215006.82754966736
1544,85191.2819353765
1545,106315.48719254613
1546,117638.4008204492
1547,135691.53175868653
1548,133866.4003221241
1549,108984.2818308144
1550,145344.51643766632
1551,123178.89316094875
1552,139279.26288509602
1553,137604.01292980052
1554,113608.91632219065
1555,164349.8072268808
1556,95078.61653513918
1557,125716.4996237971
1558,90000.51345466521
1559,99370.0179944417
1560,148663.05614957906
1561,121674.20492683584
1562,126378.98340747821
1563,122216.06702614887
1564,162579.523694534
1565,161169.74336834718
1566,196599.61596523575
1567,72958.19929115675
1568,214867.42017533776
1569,126393.33030925704
1570,117228.49378749501
1571,133885.07434334833
1572,141683.5699941452
1573,243364.9278295578
1574,110350.91377167929
1575,208894.05287838491
1576,207563.30855198688
1577,192270.75918066892
1578,153598.0378244044
1579,143552.40480369818
1580,193272.24514590597
1581,137747.26699362768
1582,126554.65175672888
1583,316174.02544035524
1584,232180.89501663568
1585,140134.76197485227
1586,70386.26013921843
1587,104332.47348397873
1588,147705.1160716828
1589,100444.38503662831
1590,133591.30652631941
1591,106320.43421778019
1592,129623.56555611185
1593,116166.26018274589
1594,123696.95687979444
1595,119634.89637004654
1596,224426.7879054388
1597,167648.6252749187
1598,193208.83748585734
1599,217311.55869861838
1600,186254.12552060204
1601,75110.9258812522
1602,104685.5781353139
1603,91392.72004768856
1604,279142.05322867126
1605,250358.6517834306
1606,171008.27126197246
1607,152780.56154925507
1608,201167.03624820377
1609,190025.7153640319
1610,161722.35894687413
1611,155879.92823500067
1612,159537.30275046255
1613,160435.37919783973
1614,120770.31534457054
1615,87572.31933619521
1616,81379.92393102651
1617,87785.0523459418
1618,127072.96265916554
1619,131060.18806147177
1620,141618.9866240801
